REP,Treatment,Application,Stage,Crop,Soybean,RateUS,Dilution,RateM,DAT,IR
4,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,8,10
1,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,8,15
2,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,8,10
3,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,8,10
4,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,8,10
1,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,8,20
2,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,8,10
3,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,8,20
4,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,8,20
1,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,8,35
2,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,8,40
3,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,8,30
4,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,8,30
1,49,2,R2 (Full flower),2,Glyphosate,0,0,0,8,0
2,49,2,R2 (Full flower),2,Glyphosate,0,0,0,8,0
3,49,2,R2 (Full flower),2,Glyphosate,0,0,0,8,0
4,49,2,R2 (Full flower),2,Glyphosate,0,0,0,8,0
1,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,8,10
2,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,8,10
3,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,8,10
4,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,8,10
1,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,8,10
2,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,8,10
3,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,8,10
4,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,8,10
1,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,8,10
2,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,8,10
3,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,8,10
4,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,8,10
1,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,8,10
2,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,8,10
3,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,8,20
4,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,8,20
1,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,8,30
2,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,8,20
3,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,8,35
4,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,8,30
1,73,2,R2 (Full flower),6,Grape,0,0,0,8,0
2,73,2,R2 (Full flower),6,Grape,0,0,0,8,0
3,73,2,R2 (Full flower),6,Grape,0,0,0,8,0
4,73,2,R2 (Full flower),6,Grape,0,0,0,8,0
1,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,8,5
2,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,8,10
3,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,8,10
4,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,8,20
1,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,8,5
2,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,8,5
3,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,8,10
4,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,8,5
1,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,8,15
2,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,8,5
3,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,8,20
4,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,8,10
1,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,8,20
2,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,8,5
3,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,8,20
4,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,8,20
1,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,8,40
2,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,8,30
3,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,8,30
4,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,8,30
1,67,2,R2 (Full flower),5,Organic,0,0,0,8,0
2,67,2,R2 (Full flower),5,Organic,0,0,0,8,0
3,67,2,R2 (Full flower),5,Organic,0,0,0,8,0
4,67,2,R2 (Full flower),5,Organic,0,0,0,8,0
1,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,8,10
2,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,8,10
3,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,8,10
4,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,8,10
1,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,8,10
2,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,8,20
3,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,8,10
4,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,8,10
1,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,8,20
2,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,8,20
3,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,8,30
4,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,8,15
1,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,8,30
2,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,8,20
3,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,8,25
4,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,8,25
1,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,8,50
2,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,8,50
3,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,8,50
4,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,8,40
1,79,2,R2 (Full flower),7,Tomato,0,0,0,8,0
2,79,2,R2 (Full flower),7,Tomato,0,0,0,8,0
3,79,2,R2 (Full flower),7,Tomato,0,0,0,8,0
4,79,2,R2 (Full flower),7,Tomato,0,0,0,8,0
1,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,8,20
2,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,8,30
3,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,8,60
4,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,8,20
1,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,8,20
2,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,8,20
3,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,8,20
4,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,8,20
1,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,8,40
2,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,8,20
3,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,8,20
4,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,8,30
1,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,8,40
2,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,8,30
3,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,8,40
4,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,8,30
1,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,8,80
2,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,8,30
3,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,8,20
4,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,8,30
1,61,2,R2 (Full flower),4,Conventional,0,0,0,15,0
2,61,2,R2 (Full flower),4,Conventional,0,0,0,15,0
3,61,2,R2 (Full flower),4,Conventional,0,0,0,15,0
4,61,2,R2 (Full flower),4,Conventional,0,0,0,15,0
1,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,15,10
2,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,15,10
3,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,15,10
4,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,15,10
1,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,15,10
2,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,15,10
3,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,15,10
4,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,15,10
1,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,15,10
2,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,15,10
3,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,15,10
4,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,15,10
1,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,15,20
2,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,15,10
3,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,15,25
4,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,15,10
1,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,15,30
2,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,15,30
3,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,15,40
4,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,15,40
1,55,2,R2 (Full flower),3,Glufosinate,0,0,0,15,0
2,55,2,R2 (Full flower),3,Glufosinate,0,0,0,15,0
3,55,2,R2 (Full flower),3,Glufosinate,0,0,0,15,0
4,55,2,R2 (Full flower),3,Glufosinate,0,0,0,15,0
1,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,15,10
2,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,15,10
3,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,15,10
4,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,15,10
1,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,15,10
2,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,15,10
3,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,15,10
4,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,15,10
1,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,15,10
2,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,15,15
3,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,15,10
4,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,15,10
1,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,15,15
2,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,15,15
3,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,15,30
4,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,15,30
1,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,15,25
2,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,15,50
3,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,15,40
4,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,15,40
1,49,2,R2 (Full flower),2,Glyphosate,0,0,0,15,0
2,49,2,R2 (Full flower),2,Glyphosate,0,0,0,15,0
3,49,2,R2 (Full flower),2,Glyphosate,0,0,0,15,0
4,49,2,R2 (Full flower),2,Glyphosate,0,0,0,15,0
1,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,15,5
2,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,15,10
3,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,15,10
4,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,15,10
1,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,15,5
2,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,15,10
3,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,15,10
4,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,15,10
1,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,15,10
2,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,15,10
3,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,15,10
4,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,15,10
1,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,15,20
2,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,15,20
3,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,15,30
4,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,15,20
1,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,15,40
2,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,15,40
3,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,15,40
4,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,15,30
1,73,2,R2 (Full flower),6,Grape,0,0,0,15,0
2,73,2,R2 (Full flower),6,Grape,0,0,0,15,0
3,73,2,R2 (Full flower),6,Grape,0,0,0,15,0
4,73,2,R2 (Full flower),6,Grape,0,0,0,15,0
1,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,15,5
2,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,15,10
3,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,15,5
4,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,15,10
1,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,15,5
2,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,15,5
3,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,15,0
4,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,15,5
1,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,15,10
2,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,15,5
3,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,15,10
4,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,15,5
1,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,15,10
2,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,15,5
3,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,15,10
4,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,15,10
1,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,15,20
2,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,15,30
3,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,15,20
4,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,15,30
1,67,2,R2 (Full flower),5,Organic,0,0,0,15,0
2,67,2,R2 (Full flower),5,Organic,0,0,0,15,0
3,67,2,R2 (Full flower),5,Organic,0,0,0,15,0
4,67,2,R2 (Full flower),5,Organic,0,0,0,15,0
1,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,15,10
2,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,15,10
3,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,15,10
4,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,15,10
1,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,15,10
2,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,15,20
3,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,15,10
4,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,15,10
1,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,15,20
2,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,15,20
3,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,15,20
4,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,15,20
1,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,15,40
2,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,15,20
3,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,15,25
4,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,15,30
1,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,15,60
2,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,15,60
3,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,15,50
4,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,15,40
1,79,2,R2 (Full flower),7,Tomato,0,0,0,15,0
2,79,2,R2 (Full flower),7,Tomato,0,0,0,15,0
3,79,2,R2 (Full flower),7,Tomato,0,0,0,15,0
4,79,2,R2 (Full flower),7,Tomato,0,0,0,15,0
1,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,15,20
2,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,15,20
3,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,15,40
4,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,15,10
1,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,15,10
2,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,15,20
3,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,15,10
4,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,15,10
1,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,15,30
2,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,15,10
3,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,15,10
4,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,15,20
1,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,15,30
2,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,15,30
3,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,15,30
4,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,15,20
1,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,15,60
2,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,15,30
3,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,15,30
4,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,15,30
1,61,2,R2 (Full flower),4,Conventional,0,0,0,22,0
2,61,2,R2 (Full flower),4,Conventional,0,0,0,22,0
3,61,2,R2 (Full flower),4,Conventional,0,0,0,22,0
4,61,2,R2 (Full flower),4,Conventional,0,0,0,22,0
1,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,22,10
2,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,22,20
3,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,22,15
4,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,22,20
1,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,22,10
2,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,22,10
3,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,22,10
4,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,22,20
1,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,22,10
2,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,22,10
3,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,22,10
4,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,22,20
1,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,22,15
2,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,22,20
3,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,22,30
4,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,22,20
1,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,22,30
2,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,22,40
3,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,22,50
4,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,22,50
1,55,2,R2 (Full flower),3,Glufosinate,0,0,0,22,0
2,55,2,R2 (Full flower),3,Glufosinate,0,0,0,22,0
3,55,2,R2 (Full flower),3,Glufosinate,0,0,0,22,0
4,55,2,R2 (Full flower),3,Glufosinate,0,0,0,22,0
1,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,22,10
2,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,22,20
3,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,22,15
4,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,22,20
1,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,22,10
2,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,22,10
3,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,22,15
4,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,22,10
1,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,22,10
2,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,22,20
3,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,22,15
4,58,2,R2 (Full flower),3,Glufosinate,0.032,1/500,1.12,22,10
1,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,22,20
2,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,22,20
3,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,22,40
4,57,2,R2 (Full flower),3,Glufosinate,0.16,1/100,5.6,22,40
1,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,22,30
2,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,22,60
3,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,22,50
4,56,2,R2 (Full flower),3,Glufosinate,1.6,10-Jan,56,22,60
1,49,2,R2 (Full flower),2,Glyphosate,0,0,0,22,0
2,49,2,R2 (Full flower),2,Glyphosate,0,0,0,22,0
3,49,2,R2 (Full flower),2,Glyphosate,0,0,0,22,0
4,49,2,R2 (Full flower),2,Glyphosate,0,0,0,22,0
1,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,22,5
2,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,22,10
3,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,22,15
4,54,2,R2 (Full flower),2,Glyphosate,0.01067,1/1500,0.37345,22,15
1,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,22,5
2,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,22,10
3,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,22,10
4,53,2,R2 (Full flower),2,Glyphosate,0.016,1/1000,0.56,22,15
1,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,22,10
2,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,22,10
3,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,22,10
4,52,2,R2 (Full flower),2,Glyphosate,0.032,1/500,1.12,22,15
1,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,22,20
2,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,22,30
3,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,22,40
4,51,2,R2 (Full flower),2,Glyphosate,0.16,1/100,5.6,22,25
1,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,22,40
2,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,22,50
3,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,22,50
4,50,2,R2 (Full flower),2,Glyphosate,1.6,10-Jan,56,22,40
1,73,2,R2 (Full flower),6,Grape,0,0,0,22,0
2,73,2,R2 (Full flower),6,Grape,0,0,0,22,0
3,73,2,R2 (Full flower),6,Grape,0,0,0,22,0
4,73,2,R2 (Full flower),6,Grape,0,0,0,22,0
