REP,Treatment,Application,Stage,Crop,Soybean,Trt,RateUS,RateM,Rate1,Dilution,PLOT,DAT,IR
2,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,228,7,10
3,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,367,7,5
4,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,466,7,10
1,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,123,7,10
2,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,225,7,5
3,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,368,7,15
4,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,464,7,15
1,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,124,7,5
2,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,230,7,10
3,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,369,7,3
4,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,461,7,10
1,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,125,7,0
2,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,201,7,0
3,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,363,7,0
4,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,455,7,0
1,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,126,7,80
2,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,202,7,60
3,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,365,7,70
4,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,456,7,70
1,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,127,7,30
2,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,204,7,40
3,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,362,7,40
4,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,460,7,40
1,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,128,7,20
2,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,203,7,20
3,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,361,7,25
4,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,457,7,40
1,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,129,7,10
2,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,206,7,10
3,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,364,7,20
4,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,459,7,20
1,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,130,7,5
2,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,205,7,5
3,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,366,7,10
4,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,458,7,10
1,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,131,7,0
2,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,222,7,0
3,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,378,7,0
4,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,474,7,0
1,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,132,7,10
2,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,220,7,20
3,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,373,7,25
4,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,475,7,30
1,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,133,7,5
2,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,219,7,15
3,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,375,7,10
4,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,478,7,20
1,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,134,7,5
2,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,221,7,10
3,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,374,7,25
4,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,476,7,20
1,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,135,7,5
2,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,224,7,5
3,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,376,7,5
4,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,473,7,10
1,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,136,7,1
2,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,223,7,5
3,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,377,7,5
4,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,477,7,5
1,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,137,7,0
2,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,234,7,0
3,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,343,7,0
4,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,480,7,0
1,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,138,7,20
2,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,231,7,35
3,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,348,7,35
4,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,479,7,40
1,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,139,7,15
2,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,235,7,20
3,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,344,7,20
4,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,481,7,30
1,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,140,7,10
2,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,233,7,15
3,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,347,7,15
4,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,484,7,20
1,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,141,7,10
2,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,232,7,15
3,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,345,7,20
4,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,483,7,15
1,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,142,7,5
2,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,236,7,10
3,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,346,7,10
4,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,482,7,10
1,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,107,13,0
2,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,237,13,0
3,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,356,13,0
4,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,449,13,0
1,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,108,13,50
2,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,238,13,60
3,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,357,13,70
4,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,450,13,70
1,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,109,13,30
2,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,239,13,30
3,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,358,13,30
4,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,453,13,25
1,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,110,13,25
2,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,240,13,30
3,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,355,13,10
4,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,452,13,40
1,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,111,13,10
2,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,241,13,15
3,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,359,13,20
4,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,454,13,30
1,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,112,13,5
2,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,242,13,10
3,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,360,13,25
4,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,451,13,30
1,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,113,13,0
2,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,209,13,0
3,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,384,13,0
4,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,443,13,0
1,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,114,13,50
2,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,211,13,70
3,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,379,13,80
4,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,448,13,85
1,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,115,13,30
2,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,212,13,30
3,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,380,13,30
4,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,446,13,30
1,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,116,13,20
2,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,207,13,25
3,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,383,13,35
4,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,444,13,40
1,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,117,13,20
2,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,210,13,40
3,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,382,13,25
4,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,445,13,40
1,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,118,13,5
2,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,208,13,10
3,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,381,13,10
4,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,447,13,20
1,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,119,13,0
2,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,229,13,0
3,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,371,13,0
4,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,465,13,0
2,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,227,13,70
3,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,372,13,80
4,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,462,13,70
1,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,120,13,60
1,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,121,13,30
2,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,226,13,30
3,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,370,13,40
4,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,463,13,40
1,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,122,13,30
2,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,228,13,30
3,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,367,13,30
4,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,466,13,40
1,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,123,13,15
2,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,225,13,10
3,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,368,13,30
4,23,1,2nd Trifoliate,4,Conventional,5,0.016,0.56,1/1000,0.001,464,13,30
1,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,124,13,10
2,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,230,13,15
3,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,369,13,10
4,24,1,2nd Trifoliate,4,Conventional,6,0.01067,0.37345,1/1500,0.00067,461,13,10
1,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,125,13,0
2,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,201,13,0
3,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,363,13,0
4,25,1,2nd Trifoliate,5,Organic,1,0,0,0,0,455,13,0
1,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,126,13,80
2,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,202,13,80
3,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,365,13,80
4,26,1,2nd Trifoliate,5,Organic,2,1.6,56, 1/10,0.1,456,13,85
1,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,127,13,40
2,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,204,13,50
3,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,362,13,60
4,27,1,2nd Trifoliate,5,Organic,3,0.16,5.6,1/100,0.01,460,13,60
1,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,128,13,35
2,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,203,13,40
3,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,361,13,40
4,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,457,13,60
1,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,129,13,15
2,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,206,13,15
3,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,364,13,30
4,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,459,13,30
1,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,130,13,5
2,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,205,13,15
3,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,366,13,30
4,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,458,13,10
1,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,131,13,0
2,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,222,13,0
3,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,378,13,0
4,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,474,13,0
1,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,132,13,30
2,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,220,13,30
3,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,373,13,35
4,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,475,13,40
1,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,133,13,10
2,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,219,13,20
3,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,375,13,30
4,33,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,478,13,30
1,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,134,13,10
2,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,221,13,15
3,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,374,13,15
4,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,476,13,30
1,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,135,13,5
2,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,224,13,5
3,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,376,13,5
4,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,473,13,15
1,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,136,13,1
2,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,223,13,5
3,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,377,13,5
4,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,477,13,10
1,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,137,13,0
2,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,234,13,0
3,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,343,13,0
4,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,480,13,0
1,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,138,13,40
2,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,231,13,40
3,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,348,13,45
4,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,479,13,60
1,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,139,13,20
2,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,235,13,30
3,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,344,13,20
4,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,481,13,20
1,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,140,13,15
2,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,233,13,10
3,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,347,13,15
4,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,484,13,10
1,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,141,13,15
2,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,232,13,10
3,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,345,13,15
4,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,483,13,10
1,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,142,13,10
2,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,236,13,10
3,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,346,13,10
4,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,482,13,10
1,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,107,20,0
2,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,237,20,0
3,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,356,20,0
4,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,449,20,0
1,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,108,20,60
2,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,238,20,70
3,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,357,20,80
4,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,450,20,80
1,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,109,20,40
