REP,Treatment,Application,Stage,Crop,Soybean,Trt,RateUS,RateM,Rate1,Dilution,PLOT,DAT,IR
1,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,128,20,40
2,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,203,20,50
3,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,361,20,45
4,28,1,2nd Trifoliate,5,Organic,4,0.032,1.12,1/500,0.002,457,20,60
1,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,129,20,20
2,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,206,20,20
3,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,364,20,40
4,29,1,2nd Trifoliate,5,Organic,5,0.016,0.56,1/1000,0.001,459,20,30
1,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,130,20,10
2,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,205,20,20
3,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,366,20,30
4,30,1,2nd Trifoliate,5,Organic,6,0.01067,0.37345,1/1500,0.00067,458,20,15
1,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,137,20,0
2,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,234,20,0
3,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,343,20,0
4,37,1,2nd Trifoliate,7,Tomato,1,0,0,0,0,480,20,0
1,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,138,20,80
2,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,231,20,80
3,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,348,20,50
4,38,1,2nd Trifoliate,7,Tomato,2,1.6,56, 1/10,0.1,479,20,80
1,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,139,20,30
2,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,235,20,30
3,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,344,20,10
4,39,1,2nd Trifoliate,7,Tomato,3,0.16,5.6,1/100,0.01,481,20,20
1,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,140,20,20
2,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,233,20,10
3,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,347,20,20
4,40,1,2nd Trifoliate,7,Tomato,4,0.032,1.12,1/500,0.002,484,20,10
1,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,141,20,10
2,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,232,20,10
3,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,345,20,15
4,41,1,2nd Trifoliate,7,Tomato,5,0.016,0.56,1/1000,0.001,483,20,10
1,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,142,20,5
2,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,236,20,10
3,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,346,20,10
4,42,1,2nd Trifoliate,7,Tomato,6,0.01067,0.37345,1/1500,0.00067,482,20,10
1,31,1,2nd Trifoliate,6,Grape,1,0,0,0,0,131,20,0
1,32,1,2nd Trifoliate,6,Grape,1,0,0,0,0,222,20,0
1,33,1,2nd Trifoliate,6,Grape,1,0,0,0,0,378,20,0
1,34,1,2nd Trifoliate,6,Grape,1,0,0,0,0,474,20,0
1,35,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,132,20,100
1,36,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,220,20,100
2,33,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,373,20,100
2,32,1,2nd Trifoliate,6,Grape,2,1.6,56, 1/10,0.1,475,20,100
2,34,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,133,20,20
2,31,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,219,20,10
2,36,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,375,20,30
2,35,1,2nd Trifoliate,6,Grape,3,0.16,5.6,1/100,0.01,478,20,20
3,32,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,134,20,15
3,34,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,221,20,15
3,33,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,374,20,20
3,35,1,2nd Trifoliate,6,Grape,4,0.032,1.12,1/500,0.002,476,20,30
3,36,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,135,20,5
3,31,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,224,20,5
4,35,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,376,20,5
4,31,1,2nd Trifoliate,6,Grape,5,0.016,0.56,1/1000,0.001,473,20,15
4,32,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,136,20,5
4,34,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,223,20,5
4,36,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,377,20,5
4,33,1,2nd Trifoliate,6,Grape,6,0.01067,0.37345,1/1500,0.00067,477,20,10
